2018-07-31 16:03:26.55: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129944, onboard_control_sensors_health : 3210240, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:37.47: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2133019, onboard_control_sensors_health : 3210267, load : 617, voltage_battery : 16533, current_battery : 8, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:37.92: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2133019, onboard_control_sensors_health : 3210267, load : 610, voltage_battery : 16570, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:38.50: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2133019, onboard_control_sensors_health : 3210267, load : 571, voltage_battery : 16570, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:38.95: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2133019, onboard_control_sensors_health : 3210267, load : 567, voltage_battery : 16584, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:39.42: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2133019, onboard_control_sensors_health : 3210267, load : 550, voltage_battery : 16561, current_battery : 11, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:40.02: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2133019, onboard_control_sensors_health : 3210267, load : 559, voltage_battery : 16666, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:40.47: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2133019, onboard_control_sensors_health : 3210267, load : 549, voltage_battery : 16565, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:40.92: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2133019, onboard_control_sensors_health : 3210267, load : 556, voltage_battery : 16494, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:41.40: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2133019, onboard_control_sensors_health : 3210267, load : 550, voltage_battery : 16561, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:41.95: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210267, load : 561, voltage_battery : 16589, current_battery : 19, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:42.43: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210267, load : 553, voltage_battery : 16494, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:42.90: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 565, voltage_battery : 16604, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:43.46: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 581, voltage_battery : 16582, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:44.04: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 591, voltage_battery : 16575, current_battery : 7, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:44.49: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16607, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:44.98: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16519, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:45.55: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 590, voltage_battery : 16500, current_battery : 15, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:46.02: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16510, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:46.57: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 590, voltage_battery : 16579, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:47.05: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16540, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:47.52: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16589, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:47.96: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 582, voltage_battery : 16579, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:48.55: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 580, voltage_battery : 16589, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:49.00: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 582, voltage_battery : 16570, current_battery : 8, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:49.45: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 581, voltage_battery : 16589, current_battery : 8, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:50.05: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 584, voltage_battery : 16493, current_battery : 11, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:50.48: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 584, voltage_battery : 16498, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:51.08: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 589, voltage_battery : 16593, current_battery : 7, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:51.54: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 584, voltage_battery : 16509, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:52.00: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 592, voltage_battery : 16584, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:52.45: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 582, voltage_battery : 16575, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:53.04: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 589, voltage_battery : 16607, current_battery : 0, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:53.51: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16584, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:54.09: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 591, voltage_battery : 16574, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:54.54: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16579, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:54.99: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 591, voltage_battery : 16512, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:55.47: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 590, voltage_battery : 16536, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:55.96: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 589, voltage_battery : 16508, current_battery : 7, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:56.52: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16589, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:56.99: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16512, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:57.55: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 582, voltage_battery : 16517, current_battery : 2, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:57.99: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16472, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:58.47: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16547, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:59.03: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 583, voltage_battery : 16598, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:59.52: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16545, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:03:59.97: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16512, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:00.54: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 583, voltage_battery : 16579, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:01.00: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 581, voltage_battery : 16526, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:01.57: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16593, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:02.03: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 581, voltage_battery : 16522, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:02.49: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16574, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:03.07: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 587, voltage_battery : 16480, current_battery : 8, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:03.52: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16593, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:03.99: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 582, voltage_battery : 16570, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:04.60: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16579, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:05.02: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 594, voltage_battery : 16561, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:05.47: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16531, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:06.08: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16536, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:06.54: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 582, voltage_battery : 16569, current_battery : 7, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:07.02: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16502, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:07.47: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16570, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:08.06: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 588, voltage_battery : 16517, current_battery : 6, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:08.52: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 586, voltage_battery : 16489, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:09.08: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16598, current_battery : 5, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:09.53: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 583, voltage_battery : 16503, current_battery : 9, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:09.98: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 585, voltage_battery : 16589, current_battery : 4, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:04:10.58: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2133051, onboard_control_sensors_health : 3210299, load : 581, voltage_battery : 16556, current_battery : 3, battery_remaining : 99, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
